notice_year,item_std_code,company,product_name,rep_code,atc_code,rx_otc
2024,198601922,한화제약(주),헤파멜즈산(L-아스파르트산-L-오르니틴),8806516008903,A05BA06,일반
2024,199500908,일양약품(주),알코텔정(메타독신)(수출명:알코테라),8806417011408,A05BA09,전문
2024,200512347,오펠라헬스케어코리아주식회사,둘코락스좌약(비사코딜),8800742000809,A06AB02,일반
2024,197600483,신일제약(주),신일비사코딜정,8806538011707,A06AB02,일반
2024,200604039,(주)선일양행,황한당센나분포,8806647001101,A06AB06,일반
2024,198700944,부광약품(주),아기오과립,8806422013701,A06AC01,일반
2024,198400661,부광약품(주),아락실과립,8806422014005,A06AC51,일반
2024,202302877,메딕스제약(주),마민에스정,8806258014903,A06AD,일반
2024,201309771,(주)엑세스파마,락투즈시럽(락툴로오스액),8806731000706,A06AD11,일반
2024,201211097,제이더블유중외제약(주),듀락칸이지시럽(락툴로오즈농축액),8806449135004,A06AD11,일반
2024,197700050,제이더블유중외제약(주),듀락칸시럽(락툴로오즈농축액),8806449006304,A06AD11,전문
2024,201211096,(주)유한양행,포탈락산(락티톨수화물),8806421043204,A06AD12,일반
2024,200101839,(주)유한양행,유한락티톨산,8806421040609,A06AD12,전문
2024,201305496,(주)텔콘알에프제약,포탈락시럽(락티톨일수화물),8806255013404,A06AD12,일반
2024,200308396,안국약품(주),폴락스산(마크로골4000),8806502024702,A06AD15,일반
2024,201908015,안국약품(주),폴락스산4그램(폴리에틸렌글리콜4000),8806502053405,A06AD15,일반
2024,202300044,(주)한국파마,크리롤액(폴리에틸렌글리콜4000),8806530068709,A06AD15,일반
2024,200500504,(주)한국파비스제약,마이락스산(폴리에틸렌글리콜3350),8806218024201,A06AD15,일반
2024,202300045,(주)인트로바이오파마,이지락스액(폴리에틸렌글리콜4000),8800524022104,A06AD15,일반
2024,201204931,(주)한국파마,크리콜론정,8806530050704,A06AD17,전문
2024,201308204,(주)한국파마,크리콜론에스정,8806530051701,A06AD17,전문
2024,199702005,디아이디바이오(주),렉크린액(인산나트륨에네마),8806641004900,A06AG01,일반
2024,197300075,(주)퍼슨,성광관장약,8806574001304,A06AG04,일반
2024,199603311,(주)그린제약,그린관장약(농글리세린)(수출명:FIT-APO),8806483000405,A06AG04,일반
2024,200902331,(주)퍼슨,베베락스액,8806574005005,A06AG20,일반
2024,202000147,(주)인트로바이오파마,마그네정,8800524016301,A06AX,일반
2024,202107502,(주)중헌제약,제이티니스타틴시럽(니스타틴),8800533010802,A07AA02,전문
2024,199801540,한국유나이티드제약(주),반코진캡슐250밀리그램(반코마이신염산염),8806443012905,A07AA09,전문
2024,202006034,한국유나이티드제약(주),반코진캡슐125밀리그램(반코마이신염산염),8806443095601,A07AA09,전문
2024,200209900,(주)삼오제약,노르믹스정(리팍시민),8806597000209,A07AA11,전문
2024,200204162,(주)돌나라한농제약,흑과립(약용탄),8806756000101,A07BA01,일반
2024,200204160,(주)돌나라한농제약,흑산(약용탄),8806756000200,A07BA01,일반
2024,200503599,(주)돌나라한농제약,흑캡슐200밀리그람(약용탄),8806756000309,A07BA01,일반
2024,202302823,(주)돌나라한농제약,뉴흑산(약용탄),8806756000507,A07BA01,일반
2024,202302822,(주)돌나라한농제약,뉴흑과립(약용탄),8806756000606,A07BA01,일반
2024,201206825,경남제약(주),링거라이트액,8806476037203,A07CA,전문
2024,201402408,한미약품(주),로페시콘츄정,8806435069009,A07DA53,일반
2024,200907976,리퓨어헬스케어 주식회사,뮤타플로캡슐(E.colistrainNissle1917의동결건조물),8806797002102,A07E,전문
2024,199504245,(주)대웅제약,엔토코트(부데소니드(미분화)),8806416063804,A07EA06,전문
2024,201006784,코오롱제약(주),클리퍼지속성장용정5밀리그램(베클로메타손디프로피오네이트),8806703032506,A07EA07,전문
2024,199803482,한림제약(주),조피린장용정(설파살라진),8806453015002,A07EC01,전문
2024,199704520,한국페링제약(주),펜타사좌약(메살라진),8806525002404,A07EC02,전문
2024,200800783,한국페링제약(주),펜타사서방과립2그램(메살라진),8806525002503,A07EC02,전문
2024,200606206,한국페링제약(주),펜타사서방과립1그램(메살라진),8806525002206,A07EC02,전문
2024,200307870,(주)대웅제약,아사콜좌약500밀리그람(메살라진),8806416018507,A07EC02,전문
2024,200307868,(주)대웅제약,아사콜관장액4그람/100밀리리터(메살라진),8806416018200,A07EC02,전문
2024,200500130,(주)종근당,콜라잘캡슐(발살라지드이나트륨이수화물),8806433035204,A07EC04,전문
2024,198701383,한미약품(주),메디락디에스장용캡슐(바실루스서브틸리스균·엔테로코쿠스페슘균배양물),8806435009005,A07FA01,일반
2024,198601222,한미약품(주),메디락에스장용캡슐(바실루스서브틸리스균·엔테로코쿠스페슘균배양물),8806435009302,A07FA01,일반
2024,200400118,(주)종근당,락토웰장용캡슐(바실루스서브틸리스균·엔테로코쿠스페슘균배양물),8806433004408,A07FA01,일반
2024,199700555,일동제약(주),사미온정30밀리그램(니세르골린),8806429006904,C04AE02,전문
2024,197800093,일동제약(주),사미온정(니세르골린),8806429006706,C04AE02,전문
2024,198600235,일동제약(주),사미온정10밀리그램(니세르골린),8806429006805,C04AE02,전문
2024,202300405,한미약품(주),니세골린정10밀리그램(니세르골린),8806435086105,C04AE02,전문
2024,202300406,한미약품(주),니세골린정30밀리그램(니세르골린),8806435086204,C04AE02,전문
2024,199801024,(주)한독,케타스캅셀10밀리그람(이부딜라스트),8806521012308,C04AX,전문
2024,200302015,영풍제약(주),페로딜정(이펜프로딜타르타르산염),8806619018304,C04AX28,전문
2024,200808565,(주)글로벌데이몬파마,렉토제식연고(희석니트로글리세린),8806722001309,C05AE01,전문
2024,200906091,대화제약(주),파사렉트연고(희석니트로글리세린),8806456033904,C05AE01,전문
2024,199806423,동화약품(주),포스테리산좌제,8806427036804,C05AX,일반
2024,199806424,동화약품(주),포스테리산연고,8806427036705,C05AX,일반
2024,201703181,제이더블유중외제약(주),노블루겔(헤파리노이드),8806449143603,C05BA01,일반
2024,201601514,신일제약(주),하나로겔(헤파리노이드),8806538051703,C05BA01,일반
2024,201400028,금청약품(주),파이브로베인주0.2%(테트라데실황산나트륨),8806849000506,C05BB04,전문
2024,200606842,금청약품(주),파이브로베인주1%(테트라데실황산나트륨콘센트레이트),8806849000407,C05BB04,전문
