ingredient,product_name,indication,report_type,report_date,era
"다음 각각의 폐렴구균 협막형으로부터 추출된 정제 협막 폴리사카라이드 (협막형:1, 2, 3, 4, 5, 6B, 7F, 8, 9N, 9V, 10A, 11A, 12F, 14, 15B, 17F, 18C, 19A, 19F, 20, 22F, 23F, 33F)",프로디악스-23 프리필드시린지(폐렴구균백신),용액주사제,공급중단,2026-06-01,2023-01-01~
리라글루티드,빅토자펜주6밀리그램/밀리리터(리라글루티드),용액주사제,공급중단,2026-06-01,2023-01-01~
라스미디탄헤미숙신산염,레이보우정100밀리그램(라스미디탄헤미숙신산염),필름코팅정,공급부족,2026-05-28,2023-01-01~
빈크리스틴황산염,빈크란주(빈크리스틴황산염),용액용동결건조분말주사제,공급중단,2026-05-22,2023-01-01~
히드로코르티손숙시네이트나트륨,코티소루주(히드로코르티손숙시네이트나트륨),현탁액용동결건조분말주사제,공급부족,2026-05-21,2023-01-01~
암포테리신B,훈기존주사50밀리그램(주사용암포테리신비),용액용분말주사제,공급부족,2026-05-20,2023-01-01~
니트로 푸루시드 나트륨,나이트로프레스주(니트로푸루시드나트륨),용액주사제,공급부족,2026-05-08,2023-01-01~
히드로코르티손프로부테이트,"반델크림(히드로코르티손프로부테이트
)",피부크림제,공급중단,2026-04-30,2023-01-01~
데노수맙,엑스지바주(데노수맙),용액주사제,공급중단,2026-04-30,2023-01-01~
이포스파마이드,홀록산주1000밀리그람(이포스파마이드),용액용분말주사제,공급부족,2026-04-29,2023-01-01~
니코틴타르타르산염수화물,니코틴엘로젠즈민트향트로키1밀리그램(니코틴타르타르산염수화물),트로키제,공급부족,2026-04-29,2023-01-01~
염산카르테올롤,미케란정(카르테올롤염산염),나정,공급중단,2026-04-22,2023-01-01~
"라미부딘,아바카비르황산염",키벡사정,필름코팅정,공급중단,2026-04-22,2023-01-01~
"정제불활화 인플루엔자바이러스 표면항원 B형[B/Phuket/3073/2013],정제불활화인플루엔자바이러스표면항원B형[B/Michigan/01/2021],정제불활화인플루엔자바이러스표면항원A형[A/Victoria/4897/2022 (IVR-238)(H1N1)],정제불활화인플루엔자바이러스표면항원A형[A/Croatia/10136RV/2023 (NYMC X-425A)(H3N2)]",스카이셀플루4가프리필드시린지(세포배양인플루엔자표면항원백신),현탁액주사제,공급중단,2026-04-21,2023-01-01~
히알루론산나트륨,치아로겔(히알루론산나트륨),피부용겔제,공급중단,2026-04-20,2023-01-01~
"정제 불활화 인플루엔자 바이러스 항원 B형 [B/Phuket/3073/2013 - like strain (B/Phuket/3073/2013, wild type)],정제불활화인플루엔자바이러스항원B형[B/Austria/1359417/2021 - like strain (B/Michigan/01/2021, wild type)],정제불활화인플루엔자바이러스항원A형[A/Victoria/4897/2022 (H1N1)pdm09 - like strain (A/Victoria/4897/2022, IVR-238)],정제불활화인플루엔자바이러스항원A형[A/Thailand/8/2022 (H3N2)-like strain (A/California/122/2022, SAN-022)]",박씨그리프테트라주(인플루엔자분할백신),현탁액주사제,공급중단,2026-04-17,2023-01-01~
철-아세틸트랜스페린,볼그레캡슐(철-아세틸트랜스페린),"경질캡슐제, 산제",공급중단,2026-04-13,2023-01-01~
데쿠알리늄염화물,클리늄질정(데쿠알리늄염화물),질정,공급중단,2026-04-13,2023-01-01~
디아제팜,바리움정5밀리그람(디아제팜),나정,공급중단,2026-04-10,2023-01-01~
콜레칼시페롤,비엠하이디3오랄액(콜레칼시페롤),경구용액제,공급중단,2026-04-09,2023-01-01~
다우노루비신염산염,다우노신주20밀리그램(다우노루비신염산염),용액용동결건조분말주사제,공급중단,2026-04-02,2023-01-01~
사람면역글로불린-지,아이비글로불린에스엔주10%(글리신 첨가 사람면역글로불린[pH4.8]),용액주사제,공급부족,2026-03-31,2023-01-01~
"정제불활화 인플루엔자바이러스항원 B형[B/Phuket/3073/2013],정제불활화인플루엔자바이러스항원B형[B/Austria/1359417/2021 BVR-26],정제불활화인플루엔자바이러스항원A형[A/Victoria/4897/2022 IVR-238(H1N1)],정제불활화인플루엔자바이러스항원A형[A/Thailand/8/2022 IVR-237(H3N2)]",보령플루V테트라백신주(프리필드시린지)(인플루엔자분할백신),현탁액주사제,공급중단,2026-03-24,2023-01-01~
판크레아틴장용성제피펠렛,노자임캡슐40000(판크레아틴장용성제피펠렛),"장용성캡슐제, 펠렛",공급중단,2026-03-19,2023-01-01~
"정제불활화 인플루엔자바이러스항원 B형[B/Phuket/3073/2013],정제불활화인플루엔자바이러스항원B형[B/Austria/1359417/2021 BVR-26],정제불활화인플루엔자바이러스항원A형[A/Victoria/4897/2022 IVR-238(H1N1)],정제불활화인플루엔자바이러스항원A형[A/Croatia/10136RV/2023 NYMC X-425A(H3N2)],정제불활화인플루엔자바이러스항원A형[A/Switzerland/6849/2025 IVR-278(H1N1)],정제불활화인플루엔자바이러스항원A형[A/Singapore/GP20238/2024 IVR-277(H3N2)]",지씨플루쿼드리밸런트프리필드시린지주(인플루엔자분할백신),현탁액주사제,공급중단,2026-03-19,2023-01-01~
"정제불활화 인플루엔자바이러스항원 B형[B/Phuket/3073/2013],정제불활화인플루엔자바이러스항원B형[B/Austria/1359417/2021 BVR-26],정제불활화인플루엔자바이러스항원A형[A/Victoria/4897/2022 IVR-238(H1N1)],정제불활화인플루엔자바이러스항원A형[A/Croatia/10136RV/2023 NYMC X-425A(H3N2)],정제불활화인플루엔자바이러스항원A형[A/Switzerland/6849/2025 IVR-278(H1N1)],정제불활화인플루엔자바이러스항원A형[A/Singapore/GP20238/2024 IVR-277(H3N2)]",지씨플루쿼드리밸런트주(인플루엔자분할백신),현탁액주사제,공급중단,2026-03-19,2023-01-01~
그라니세트론염산염,카이트릴정1밀리그램(그라니세트론염산염),필름코팅정,공급부족,2026-03-17,2023-01-01~
스피로노락톤,알닥톤필름코팅정25밀리그람(스피로노락톤),필름코팅정,공급부족,2026-03-17,2023-01-01~
"라미프릴,펠로디핀",트리아핀정2.5/2.5mg,필름코팅정,공급중단,2026-03-16,2023-01-01~
황산마그네슘수화물,마구내신주사액<황산마그네슘수화물>,용액주사제,공급부족,2026-03-12,2023-01-01~
"플루티카손푸로에이트(미분화),빌란테롤트리페나테이트(미분화),유메클리디늄브롬화물(미분화)",트렐리지엘립타,"정량흡입제, 분말제",공급부족,2026-03-12,2023-01-01~
"정제불활화인플루엔자바이러스항원B형[B/Austria/1359417/2021 BVR-26],정제불활화인플루엔자바이러스항원A형[A/Victoria/4897/2022 IVR-238(H1N1)],정제불활화인플루엔자바이러스항원B형[B/Phuket/3073/2013 BVR-1B],정제불활화인플루엔자바이러스항원A형[A/Croatia/10136RV/2023 X-425A(H3N2)]",플루아드쿼드프리필드시린지(인플루엔자표면항원MF59C.1어쥬번트백신),현탁액주사제,공급중단,2026-03-12,2023-01-01~
"리도카인,아크리놀수화물",성광리도아가아제,지지체가있는첩부제,공급중단,2026-03-11,2023-01-01~
"벤지다민염산염,세틸피리디늄염화물수화물",모글원큐스프레이,경구용액제,공급부족,2026-03-11,2023-01-01~
백색바셀린,성광멸균바세린거즈(백색바셀린),약물이포함된거즈,공급중단,2026-03-11,2023-01-01~
보수티닙일수화물,보술리프정100밀리그램(보수티닙일수화물),필름코팅정,공급부족,2026-03-06,2023-01-01~
소마트로곤,엔젤라프리필드펜주24mg(소마트로곤),용액주사제,공급중단,2026-03-06,2023-01-01~
소마트로곤,엔젤라프리필드펜주60mg(소마트로곤),용액주사제,공급중단,2026-03-06,2023-01-01~
아시클로버,시타빅구강부착정(아시클로버),부착정,공급중단,2026-03-05,2023-01-01~
밀나시프란염산염,익셀캡슐12.5밀리그램(밀나시프란염산염),"경질캡슐제, 산제",공급중단,2026-03-04,2023-01-01~
알러젠추출물,노보헬리젠데포메인터넌스트리트먼트A,용액주사제,공급중단,2026-03-04,2023-01-01~
알러젠추출물,노보헬리젠데포이니셜트리트먼트A,용액주사제,공급중단,2026-03-04,2023-01-01~
미톡산트론염산염,미트론주(미톡산트론염산염),용액주사제,공급중단,2026-02-27,2023-01-01~
"메글루민,수산화나트륨,아미도트리조산",가스트로그라핀,경구용액제,공급중단,2026-02-26,2023-01-01~
펜터민염산염,판베시서방캡슐 30밀리그램(펜터민염산염),"서방성캡슐제, 펠렛",공급부족,2026-02-25,2023-01-01~
디아제팜,대원디아제팜정2밀리그램(수출명:디아잠정2밀리그램)(수출명2:트레즈콘정2밀리그램),나정,공급중단,2026-02-20,2023-01-01~
"함수과산화벤조일,클린다마이신포스페이트",듀악겔5%,피부용겔제,공급중단,2026-02-19,2023-01-01~
미세올란자핀,자이프렉사자이디스확산정5밀리그램(미세올란자핀),구강붕해정,공급부족,2026-02-13,2023-01-01~
미세올란자핀,자이프렉사자이디스확산정10밀리그램(미세올란자핀),구강붕해정,공급부족,2026-02-13,2023-01-01~
이오버솔,옵티레이320울트라젝트주사(이오버솔),용액주사제,공급중단,2026-02-13,2023-01-01~
"바실루스리케니포르미스균,판토텐산칼슘",장이더락캡슐,"경질캡슐제, 산제",공급중단,2026-02-12,2023-01-01~
베미파린나트륨,자이버주3500IUAntiXa/0.2mL(베미파린나트륨),용액주사제,공급중단,2026-02-10,2023-01-01~
