물품코드,물품명,usage_qty,usage_value,unit_price,transactions,value_share,cumulative_share,abc_class,ved_class,rank
WMD0325581,유한메트포르민서방정500mg(메트포르민염산염)-1정,1224539.5,1858000.0,0.0,8295,0.0033150809257878056,0.34332839250062946,A,,40
WA21450811,한미아스피린장용정100mg(한미약품)-1정,1210673.0,7073532.0,0.0,26908,0.003277541451024079,0.34660593395165357,A,,41
W653700060,게루삼정(1정)(삼남제약(주))-1정,1180544.0,10026852.053,0.0,31278,0.0031959760354429065,0.3498019099870965,A,,42
WA23450341,프리나정(스카이뉴팜)-1정,1172923.0,24143097.4,0.0,46079,0.0031753444169974184,0.3529772544040939,A,,43
WMD0328046,마미센스(신일제약)-1정,1169615.0,0.0,0.0,8757,0.0031663889788898637,0.35614364338298377,A,,44
WA02002631,릴렉시아정250밀리그램(클로르페네신카르바메이트)_(0.25g/1정),1129389.5,4991483.95,0.0,44798,0.0030574902559166338,0.3592011336389004,A,,45
WA18450111,한국넬슨파모티딘정 20mg(한국넬슨제약)-1정,1127050.0,1350000.0,0.0,33269,0.0030511567470131802,0.36225229038591356,A,,46
W670402001,드로니즈시럽(레보드로프로피진)_(3g/500mL)((주)휴온스메디텍)-500(1)mL/병,1074951.0,6510600.0,0.0,3976,0.0029101140112315913,0.36516240439714515,A,,47
W658501910,코사로탄정50mg(로사르탄칼륨)(익수제약(주))-1정,1069040.5,0.0,0.0,3130,0.002894113068990146,0.36805651746613527,A,,48
W653501270,트윈스타정40/5밀리그램_(1정)(한국베링거인겔하임(주))-1정,1064493.0,3175200.0,0.0,9428,0.002881802048798457,0.3709383195149337,A,,49
WF00200021,코푸정(유한양행)-1정,1060053.5,0.0,0.0,22897,0.002869783406876302,0.37380810292181005,A,,50
W625500260,셀티스파모티딘정20밀리그램(파모티딘)_(20mg/1정)((주)텔콘알에프제약)-1정,1038337.5,167814556.0,0.0,28442,0.0028109937170505287,0.37661909663886056,A,,51
WMD0316802,판크론정(영진약품공업)-1정(보훈급여),1011722.0,20223389.436,0.0,37957,0.002738940070450884,0.37935803670931145,A,,52
W644806170,뮤코로솔정(암브록솔염산염)_(30mg/1정)(태극제약(주))-1정,995759.0,1812727.74,0.0,35864,0.0026957249378901536,0.3820537616472016,A,,53
USE0001249,삐콤,968540.0,0.0,0.0,471,0.002622037492349182,0.3846757991395508,A,,54
WA11850541,메트파민정(삼남제약)-1정,944158.0,0.0,0.0,10905,0.0025560303907958565,0.3872318295303467,A,,55
WA08602971,태극에페리손정(태극제약)-1정,941483.5,27140046.252,0.0,36955,0.0025487899678156103,0.3897806194981623,A,,56
WA04302371,다이아벡스정500mg(대웅제약)-1정,938838.5,0.0,0.0,13578,0.0025416294074182455,0.39232224890558054,A,,57
W684501550,텔미르핀정40/5밀리그램_(1정)(화일약품(주))-1정,912083.0,41275200.0,0.0,13131,0.002469196751950688,0.3947914456575312,A,,58
W073400340,리피토정10밀리그램(아토르바스타틴칼슘삼수화물)_(10.85mg/1정)(비아트리스코리아(주))-1정,911998.5,622520.0,0.0,9581,0.00246896799302684,0.39726041365055803,A,,59
WMD0326559,임산부엽산제,900702.0,113966.0,0.0,8232,0.0024383860381955243,0.39969879968875355,A,,60
USE0000300,  삐콤,895853.0,0.0,,487,0.002425258795334722,0.4021240584840883,A,,61
W689000580,코자뉴정50mg(로사르탄칼륨)_(50mg/1정)((주)시어스제약)-1정,888534.2,73040610.0,0.0,19162,0.002405445294602687,0.40452950377869096,A,,62
W649001100,디에스반정80밀리그램(발사르탄)(풍림무약(주))-1정,883554.0,0.0,0.0,7260,0.0023919628662885262,0.40692146664497947,A,,63
WA82800691,노바스핀정5mg(성원애드콕제약)-1정,872902.0,39186010.0,0.0,14719,0.002363125705852712,0.4092845923508322,A,,64
W674401210,에이디핀정(암로디핀베실산염)_(6.944mg/1정)(아이큐어(주))-1정,862101.0,0.0,0.0,4508,0.00233388517169319,0.4116184775225254,A,,65
WA11801001,아세르정(삼남제약)-1정,847086.0,0.0,0.0,30650,0.0022932364706094734,0.41391171399313487,A,,66
W679601170,로사칼정50밀리그램(로사르탄칼륨)_(50mg/1정)((주)서흥)-1정,844442.0,0.0,0.0,3839,0.002286078617418308,0.4161977926105532,A,,67
WA03653141,토바스틴정(셀트리온제약)-1정,818514.5,472020.0,0.0,13500,0.002215887528683838,0.418413680139237,A,,68
W625500150,셀로디핀정(암로디핀베실산염)(셀티스팜(주))-1정,775112.5,0.0,0.0,1327,0.0020983893652182723,0.4205120695044553,A,,69
WMD0316900,베스타제정(무당)(동아제약)-1정(보훈급여),771771.5,20929528.0,0.0,27602,0.0020893445893061377,0.42260141409376145,A,,70
W658502060,마게이트정(알마게이트)_(0.5g/1정)(익수제약(주))-1정,739699.0,30171139.44,0.0,20159,0.0020025177184764672,0.42460393181223793,A,,71
WA05000651,셉트린정(삼일제약)-1정,739124.3,578278.5900000001,0.0,38788,0.0020009618870736826,0.4266048936993116,A,,72
WA10001261,뉴본정50단위(메디카코리아)-1정,738076.0,0.0,0.0,4722,0.0019981239228148706,0.4286030176221265,A,,73
WA09500431,보나링에이정(일양약품)-1정,734096.15,418772.1,0.0,43386,0.0019873496482222613,0.4305903672703488,A,,74
USE0000297,삐콤,732224.0,0.0,0.0,445,0.0019822813521360888,0.43257264862248485,A,,75
WW20280121,아스피린프로텍트정100mg(바이엘코리아)-1정,727033.5,0.0,0.0,11942,0.001968229598358198,0.43454087822084303,A,,76
W693902390,셀미스타정40/5밀리그램((주)셀트리온제약)-1정,705601.5,0.0,0.0,5929,0.0019102087550930487,0.4364510869759361,A,,77
WA00357621,바로디핀정(신풍제약)-1정,694571.0,8543985.0,0.0,9032,0.0018803469171107686,0.43833143389304685,A,,78
W669604870,니자탄캡슐150밀리그램(니자티딘)_(0.15g/1캡슐)((주)아이월드제약)-1캡슐,691876.0,0.0,0.0,7878,0.0018730509964034348,0.4402044848894503,A,,79
WA36705661,세자르정50mg(삼익제약)-1정,685361.0,0.0,0.0,12836,0.0018554135480144628,0.44205989843746474,A,,80
W052401750,아이리토정10밀리그램(아토르바스타틴칼슘삼수화물)_(10.85mg/1정)((주)인트로바이오파마)-1정,677496.0,0.0,0.0,3132,0.0018341213712563254,0.44389401980872106,A,,81
WE01890381,노바스크정5mg(한국화이자)-1정,677410.5,278400.0,0.0,13327,0.0018338899051262784,0.44572790971384735,A,,82
W658107210,파모나정20밀리그램(파모티딘)_(20mg/1정)((유)한풍제약)-1정,672838.5,48161921.0,0.0,21409,0.001821512558382705,0.44754942227223005,A,,83
WA13100831,뮤코졸정(부광약품)-1정,666956.25,371921.97,0.0,25901,0.0018055880947163917,0.4493550103669464,A,,84
WMD0325132,INH,664328.0,0.0,0.0,6062,0.0017984728800228668,0.4511534832469693,A,,85
WA13101421,뮤코론375mg캅셀(부광약품)-1캅셀,658799.0,732585.0,0.0,23509,0.0017835047369464852,0.4529369879839158,A,,86
WA29555171,휴온스시메티딘정200mg(휴온스)-1정,644078.0,18633.42,0.0,18881,0.0017436519544853867,0.4546806399384012,A,,87
W658501860,바르사르정80mg(발사르탄)(익수제약(주))-1정,642884.5,0.0,0.0,5047,0.0017404209038864246,0.4564210608422876,A,,88
W642905750,투탑스정40/5밀리그램(일동제약(주))-1정,641751.0,0.0,0.0,4446,0.0017373522856594255,0.45815841312794703,A,,89
W647302690,시암로핀정(암로디핀베실산염)_(6.944mg/1정)(에이치엘비제약(주))-1정,637797.0,0.0,0.0,6748,0.0017266479923470702,0.4598850611202941,A,,90
WMD0325695,임산부철분제(의약품),626790.0,0.0,0.0,490,0.0016968497737104753,0.4615819108940046,A,,91
WA13302211,에페리젠정(뉴젠팜)-1정,621688.0,4200124.2,0.0,13589,0.0016830376076812298,0.4632649485016858,A,,92
WA06652501,메트로정500mg(한국알리코팜)-1정,620075.5,401.36,0.0,4451,0.0016786722376847267,0.46494362073937057,A,,93
W684500350,다이제스토정(1정)(화일약품(주))-1정,614733.0,6537033.0,0.0,22244,0.0016642089885645299,0.4666078297279351,A,,94
W658501960,엑스포스정5/80밀리그램(익수제약(주))-1정,614275.5,0.0,0.0,4478,0.0016629704417283127,0.4682708001696634,A,,95
WA08602191,파티겔정(태극제약)-1정,613614.5,4725685.08,0.0,19603,0.0016611809784305214,0.4699319811480939,A,,96
WA30603941,바로스크정5밀리그람(베실산암로디핀)_(6.944mg/1정)(현대약품(주))-1정,611355.5,0.0,0.0,7779,0.001655065399626118,0.47158704654772005,A,,97
W698003380,아니스펜8시간이알서방정(아세트아미노펜)_(0.65g/1정)((주)제뉴파마)-1정,597347.0,1891512.0,0.0,18961,0.0016171415015820791,0.47320418804930214,A,,98
W658501780,테라포스정2밀리그램(테라조신염산염수화물)(익수제약(주))-1정,595224.5,0.0,0.0,1734,0.0016113954564238914,0.47481558350572606,A,,99
W693901040,코살정(로자탄칼륨)((주)셀트리온제약)-1정,584177.5,0.0,0.0,10776,0.0015814889495393213,0.47639707245526536,A,,100
W644603910,듀얼아미정40/5mg_(1정)(조아제약(주))-1정,583822.0,0.0,0.0,3306,0.001580526537735441,0.4779775989930008,A,,101
W670104251,레보솔시럽(레보드로프로피진)_(3g/500mL)(우리들제약(주))-500(1)mL/병,576204.8,0.0,0.0,2634,0.0015599052066735107,0.4795375041996743,A,,102
W698000230,파라리딘정20밀리그람(파모티딘)_(20mg/1정)(콜마파마(주)),568987.0,21749599.0,0.0,15752,0.0015403651337676132,0.4810778693334419,A,,103
WA66350391,넥스팜염산암부록솔정(넥스팜코리아)-1정,566402.5,1203.21,0.0,23367,0.0015333683593453111,0.4826112376927872,A,,104
W689000260,마겐정(알마게이트)_(0.5g/1정)((주)시어스제약)-1정,560525.0,495000.0,0.0,17439,0.001517456754908445,0.48412869444769563,A,,105
W689000550,레보테크정(레보드로프로피진)_(60mg/1정)((주)시어스제약)-1정,543177.0,8325987.0,0.0,23063,0.0014704921417615707,0.4855991865894572,A,,106
WA06653921,스테린정(한국알리코팜)-1정,541874.0,15839454.0,0.0,16272,0.0014669646520837764,0.487066151241541,A,,107
