family,cohort,rows,months,actual_sum,actual_mean,commodity_signal_rows,commodity_signal_row_pct,strong_commodity_shock_rows,strong_external_shock_rows,mean_commodity_risk,baseline_wape,commodity_wape,delta_wape_vs_usage_only,baseline_bias_pct,commodity_bias_pct,prediction_delta_sum,prediction_delta_mean,row_abs_error_improvement_pct,within_item_risk_actual_corr,items_with_both_signal_states,mean_item_demand_difference_signal_minus_no_signal,median_item_demand_difference_signal_minus_no_signal,delta_wape_ci95_low,delta_wape_ci95_high,improvement_probability
DISPOSABLE_SYRINGE,all,11873,12,173439.0,14.60784974311463,7544,63.53912237850585,0,3166,0.08882348984479904,41.2231147313031,41.10081606826722,-0.12229866303587755,-4.847997494312346,-5.389269272659519,-938.7763596475525,-0.07906816808283942,45.06864313989725,0.011919078721138702,0,,,-0.3299045192071406,0.10486025494671472,0.84
DISPOSABLE_SYRINGE,commodity_connected,7544,12,93256.0,12.361611876988334,7544,100.0,0,3166,0.13979338109493256,41.8397705361825,41.47650543701541,-0.36326509916708716,-4.85806843100012,-5.711200482795893,-795.5968262226673,-0.10546087304118072,44.69777306468717,0.017380414728538476,0,,,-0.5513318186387668,-0.16515394428273447,1.0
DISPOSABLE_SYRINGE,commodity_unconnected,4329,12,80183.0,18.52229152229152,0,0.0,0,0,0.0,40.50591964331895,40.66387447501202,0.15795483169307545,-4.8362845966687695,-5.014850543845707,-143.1795334248851,-0.033074505295653756,45.71494571494571,,0,,,-0.3370050823004703,0.5864621742042782,0.242
INJECTION_NEEDLE,all,585,12,1065.0,1.8205128205128205,0,0.0,0,0,0.0,66.56985721575529,69.74822621769017,3.1783690019348825,-24.515438417522237,-22.176310995888777,24.91170704039628,0.042584114598968,40.17094017094017,,0,,,0.8938043614860721,5.846906319020369,0.004
INJECTION_NEEDLE,commodity_unconnected,585,12,1065.0,1.8205128205128205,0,0.0,0,0,0.0,66.56985721575529,69.74822621769017,3.1783690019348825,-24.515438417522237,-22.176310995888777,24.91170704039628,0.042584114598968,40.17094017094017,,0,,,0.8938043614860721,5.846906319020369,0.004
ANGIO_CATHETER,all,363,12,392.0,1.0798898071625345,0,0.0,0,0,0.0,75.91147756323736,78.0667772808835,2.1552997176461446,-21.090038828427367,-22.848714061941514,-6.894006915375424,-0.018991754587811088,32.231404958677686,,0,,,0.08781274659570584,4.726268404110766,0.016
ANGIO_CATHETER,commodity_unconnected,363,12,392.0,1.0798898071625345,0,0.0,0,0,0.0,75.91147756323736,78.0667772808835,2.1552997176461446,-21.090038828427367,-22.848714061941514,-6.894006915375424,-0.018991754587811088,32.231404958677686,,0,,,0.08781274659570584,4.726268404110766,0.016
PREFILLED_SYRINGE,all,12,12,1954.0,162.83333333333334,0,0.0,0,0,0.0,38.61342631251944,37.98759417218848,-0.6258321403309566,-6.333945619614377,-8.952406857207176,-51.16473258256333,-4.263727715213611,50.0,,0,,,-5.002909792051904,2.538041274272485,0.636
PREFILLED_SYRINGE,commodity_unconnected,12,12,1954.0,162.83333333333334,0,0.0,0,0,0.0,38.61342631251944,37.98759417218848,-0.6258321403309566,-6.333945619614377,-8.952406857207176,-51.16473258256333,-4.263727715213611,50.0,,0,,,-5.002909792051904,2.538041274272485,0.636
SYRINGE_SUPPLY_ALL,all,12821,12,174896.0,13.641369627954138,7544,58.84096404336635,0,3166,0.0822557806968689,41.455207626372506,41.35811268228057,-0.09709494409193553,-5.004162899960226,-5.530623573459067,-920.7586595225314,-0.07181644641779357,44.48170969503159,0.011877427418527105,0,,,-0.31178500832375267,0.13873684458024751,0.784
SYRINGE_SUPPLY_ALL,commodity_connected,7544,12,93256.0,12.361611876988334,7544,100.0,0,3166,0.13979338109493256,41.8397705361825,41.47650543701541,-0.36326509916708716,-4.85806843100012,-5.711200482795893,-795.5968262226673,-0.10546087304118072,44.69777306468717,0.017380414728538476,0,,,-0.5513318186387668,-0.16515394428273447,1.0
SYRINGE_SUPPLY_ALL,commodity_unconnected,5277,12,81640.0,15.470911502747773,0,0.0,0,0,0.0,41.015927877263735,41.222874628194944,0.20694675093120907,-5.171044156664582,-5.3243536046066025,-125.16183329986427,-0.02371836901646092,44.17282546901649,,0,,,-0.29042185750493926,0.64647282326398,0.178
