standard_item_key,item_names,materials,material_count,rows
NAME::ITEM_a030f2a84d94f1b5a592,(보령바이오)아스트릭스캡슐100mg(아스피린장용과립)-1캡슐 | 보령바이오아스트릭스캡슐100mg(보령바이오파마)-1캡슐 | 보령바이오아스트릭스캡슐100밀리그램(아스피린장용과립)((주)보령바이오파마)-1캡슐,ALUMINUM | ASPIRIN | POLYPROPYLENE_PP,3,1314
NAME::ITEM_25bdee2418797a77058b,(보령바이오)아스트릭스캡슐100mg(아스피린장용과립)-1캡슐 | 보령바이오아스트릭스캡슐100mg(보령바이오파마)-1캡슐 | 보령바이오아스트릭스캡슐100밀리그램(아스피린장용과립)((주)보령바이오파마)-1캡슐,ALUMINUM | ASPIRIN | POLYPROPYLENE_PP,3,1314
NAME::ITEM_459b5aaf768930b96a6f,(보령바이오)아스트릭스캡슐100mg(아스피린장용과립)-1캡슐 | 보령바이오아스트릭스캡슐100mg(보령바이오파마)-1캡슐 | 보령바이오아스트릭스캡슐100밀리그램(아스피린장용과립)((주)보령바이오파마)-1캡슐,ALUMINUM | ASPIRIN | POLYPROPYLENE_PP,3,1314
NAME::ITEM_cd63c0cef5e69f26e7be,(보령바이오)아스트릭스캡슐100mg(아스피린장용과립)-1캡슐 | 보령바이오아스트릭스캡슐100mg(보령바이오파마)-1캡슐 | 보령바이오아스트릭스캡슐100밀리그램(아스피린장용과립)((주)보령바이오파마)-1캡슐,ALUMINUM | ASPIRIN | POLYPROPYLENE_PP,3,1314
NAME::ITEM_c421c082ca25e1640ff6,프레벨연고(프레드니카르베이트)_(25mg/10g)(태극제약(주))-10g/개,PARAFFIN_PETROLEUM | PREDNICARBATE,2,1300
NAME::ITEM_a5f890b8f5bd661d7de7,에스로반연고(무피로신)_(0.2g/10g)(제이더블유신약(주))-10g/개 | 에스로반연고(무피로신)_(0.2g/10g)(제이더블유중외신약(주))-10g/개,MUPIROCIN | PARAFFIN_PETROLEUM,2,1116
NAME::ITEM_2f9518051e02c66bb755,에스로반연고(무피로신)_(0.2g/10g)(제이더블유신약(주))-10g/개 | 에스로반연고(무피로신)_(0.2g/10g)(제이더블유중외신약(주))-10g/개,MUPIROCIN | PARAFFIN_PETROLEUM,2,1116
NAME::ITEM_6ea9b549c15114c8a5a4,케토파인겔(케토프로펜)_(1.5g/50g)(태극제약(주))-50g/개 | 케토파인겔(태극제약)-50g,ALUMINUM | KETOPROFEN | POLYPROPYLENE_PP,3,1083
NAME::ITEM_9a7d3d69e2832194321a,케토파인겔(케토프로펜)_(1.5g/50g)(태극제약(주))-50g/개 | 케토파인겔(태극제약)-50g,ALUMINUM | KETOPROFEN | POLYPROPYLENE_PP,3,1083
NAME::ITEM_9a42223a6f3517848746,마데카솔케어연고(10g)(동국제약(주))-10g/개 | 마데카솔케어연고(6g)(동국제약(주)) | 마데카솔케어연고(6g)(동국제약(주))-6g/개,CENTELLA_EXTRACT | PARAFFIN_PETROLEUM,2,1066
