rprsntDtilPrdctClsfcNo,rprsntDtilPrdctClsfcNoNm,n,mean,p25,median,p75,p90
5128050801,따로분류되지않은대사성의약품,17,30.1,30.0,30.0,30.0,30.0
3010320101,스틸그레이팅,17,129.4,30.0,80.0,234.0,283.6
2612160901,UTP케이블,16,59.7,60.0,60.0,60.0,60.0
3015180211,석제단열패널,16,133.2,63.75,148.5,177.75,248.5
4218179502,맥박수계,16,30.1,30.0,30.0,30.0,30.5
1216499901,기타도막방수재,16,92.6,84.5,90.0,91.25,146.5
5311190101,남성용운동화,16,37.6,30.0,30.0,38.25,60.0
4323151301,사무용소프트웨어,16,32.5,30.0,30.0,30.25,31.0
4014219701,일반용폴리에틸렌관,16,119.0,30.0,49.5,240.25,320.0
2612170501,광점퍼코드,15,151.0,89.5,101.0,240.0,272.8
5610179301,보조책상,15,38.3,30.0,30.0,30.0,79.6
3116259801,브래킷,15,88.3,60.0,60.0,105.0,133.0
3015200102,메시형울타리,15,98.3,50.0,50.0,96.5,213.19999999999996
2510161101,화물트럭,15,209.8,210.0,210.0,210.0,210.0
4410160201,종이펀칭기또는바인딩기,14,15.0,15.0,15.0,15.0,15.0
4920160302,레그익스텐션머신,14,60.1,60.0,60.0,60.0,60.7
4618150903,화학물질보호복,14,30.0,30.0,30.0,30.0,30.0
4511179801,랙캐비닛용패널,14,125.9,82.0,99.0,134.5,209.7
5610152901,잡지꽂이,13,34.5,30.0,30.0,30.0,44.40000000000001
4810161501,상업용식기세척기,13,74.6,40.0,40.0,86.0,145.20000000000002
4410210501,자동인증기,13,20.0,20.0,20.0,20.0,20.0
5610151501,침대,13,36.8,30.0,30.0,30.0,30.0
4014239301,일반용폴리에틸렌이음관,13,98.0,30.0,31.0,145.0,240.8
4410280501,제본천공기,13,15.0,15.0,15.0,15.0,15.0
3013170201,자연석판석,13,193.9,124.0,225.0,275.0,304.6
4511189301,영상정보디스플레이장치,13,63.9,30.0,30.0,94.0,159.60000000000002
5214155301,전기밥솥,13,38.7,30.0,30.0,30.0,59.400000000000006
2315313001,진동방지장치,13,108.3,60.0,79.0,109.0,252.60000000000002
5610160501,옥외용벤치,12,96.3,60.0,60.0,62.0,223.70000000000007
2517511101,패키지용품,12,210.0,210.0,210.0,210.0,210.0
2510170301,구급차,12,209.8,210.0,210.0,210.0,210.0
3015190101,차양,12,121.4,59.25,60.0,233.75,260.3
5610150801,매트리스,12,30.0,30.0,30.0,30.0,30.0
4810189601,상업용주방후드,12,74.8,40.0,40.5,124.75,137.2
4010180802,전기히터,12,211.7,181.0,215.0,250.75,338.8
4014178203,철근콘크리트용배수로관,11,96.5,30.0,30.0,145.0,241.0
4920160301,레그프레스머신,11,62.8,60.0,60.0,60.0,61.0
4010187201,고무발포단열재,11,235.7,245.0,282.0,293.0,296.0
5216154501,디지털비디오레코더,11,74.5,60.0,60.0,70.5,86.0
5213150101,커튼,11,33.9,30.0,30.0,30.0,30.0
4412150601,봉투,11,15.0,15.0,15.0,15.0,15.0
5310271001,근무복,11,30.0,30.0,30.0,30.0,30.0
7316909801,안마의자임대서비스,11,13.3,10.0,10.0,13.0,20.0
5610151601,장롱,10,39.2,30.0,30.0,30.0,39.99999999999997
3015200105,금속제기타울타리,10,75.2,50.0,50.0,103.25,123.79999999999998
4618170202,안면보호구,10,30.1,30.0,30.0,30.0,30.1
2510199401,탱크트럭,10,208.2,210.0,210.0,210.0,210.0
4617161002,보안용카메라,10,94.2,60.0,60.0,82.5,161.59999999999997
4924151101,퍼걸러,10,114.7,60.0,60.0,191.25,241.8
5216151201,스피커,10,82.3,60.0,60.0,106.5,141.39999999999998
3015229901,목재덱,10,32.3,25.0,25.0,42.25,53.099999999999994
3015180201,샌드위치패널,10,75.0,60.0,60.5,90.0,98.99999999999997
5610158802,텔레비전받침대,10,39.2,30.0,30.0,31.0,39.99999999999997
4322264001,무선랜액세스포인트,10,159.8,40.75,173.0,268.0,274.9
3911152607,가로등주부속자재,10,110.6,38.25,78.0,132.25,235.79999999999995
3912110301,폐쇄형배전반,9,130.8,60.0,120.0,185.0,227.60000000000002
4810152101,상업용가스레인지,9,77.6,40.0,40.0,86.0,154.0
3911160802,LED보안등기구,9,122.4,50.0,101.0,203.0,223.8
2110189901,농축산용방역장비,9,49.2,45.0,45.0,46.0,53.00000000000001
4810209501,상업용조리대,9,44.7,40.0,40.0,41.0,60.0
3911161102,LED투광등기구,9,140.8,30.0,123.0,235.0,258.8
3016150501,실내벽체마감패널,9,88.1,37.0,52.0,99.0,205.0
4218230801,뇌파계,9,30.6,30.0,30.0,30.0,31.0
