rprsntDtilPrdctClsfcNo,rprsntDtilPrdctClsfcNoNm,n,mean,p25,median,p75,p90
4010209501,간접가열보일러,1,70.0,70.0,70.0,70.0,70.0
4713182302,액상제설제,1,40.0,40.0,40.0,40.0,40.0
4713181601,산업용탈취제,1,30.0,30.0,30.0,30.0,30.0
4810161001,탈피기,1,40.0,40.0,40.0,40.0,40.0
4713181001,액상세제,1,10.0,10.0,10.0,10.0,10.0
4810189801,살균수제조장치,1,30.0,30.0,30.0,30.0,30.0
3911161103,탐조등,1,30.0,30.0,30.0,30.0,30.0
4920160513,토르소머신,1,60.0,60.0,60.0,60.0,60.0
4810189401,음식쓰레기처리대,1,40.0,40.0,40.0,40.0,40.0
3912130302,풀박스,1,60.0,60.0,60.0,60.0,60.0
3912140601,멀티탭,1,10.0,10.0,10.0,10.0,10.0
3912164901,아크차단기,1,91.0,91.0,91.0,91.0,91.0
4920160305,토탈힙머신,1,60.0,60.0,60.0,60.0,60.0
5215170401,숟가락,1,45.0,45.0,45.0,45.0,45.0
3016179701,이중바닥마루틀,1,242.0,242.0,242.0,242.0,242.0
3016150502,실내공간분할패널,1,31.0,31.0,31.0,31.0,31.0
5214160401,신발건조기,1,30.0,30.0,30.0,30.0,30.0
3012171402,플라스틱계맨홀,1,322.0,322.0,322.0,322.0,322.0
3012999902,어린이놀이시설탄성포장재,1,307.0,307.0,307.0,307.0,307.0
3012179501,카스토퍼,1,31.0,31.0,31.0,31.0,31.0
3012189301,잔디보호매트,1,112.0,112.0,112.0,112.0,112.0
3014151401,발포폴리스티렌단열재,1,49.0,49.0,49.0,49.0,49.0
5216154001,AV스위쳐,1,60.0,60.0,60.0,60.0,60.0
3013159304,압출성형콘크리트패널,1,20.0,20.0,20.0,20.0,20.0
3014150801,섬유단열재,1,207.0,207.0,207.0,207.0,207.0
5310250501,우산,1,30.0,30.0,30.0,30.0,30.0
3012179301,철제가드레일,1,30.0,30.0,30.0,30.0,30.0
5512171001,교통안전표지,1,30.0,30.0,30.0,30.0,30.0
5512190301,안내전광판,1,278.0,278.0,278.0,278.0,278.0
3010329701,그레이팅거름망,1,115.0,115.0,115.0,115.0,115.0
2410168905,주차경보등,1,90.0,90.0,90.0,90.0,90.0
2410168907,주차요금계산기,1,90.0,90.0,90.0,90.0,90.0
2611170402,소형기기용충전기,1,30.0,30.0,30.0,30.0,30.0
2517381301,자동변속기,1,210.0,210.0,210.0,210.0,210.0
3012169901,콘크리트맨홀블록,1,234.0,234.0,234.0,234.0,234.0
3012169501,주철맨홀뚜껑,1,201.0,201.0,201.0,201.0,201.0
5610159201,청소도구함,1,31.0,31.0,31.0,31.0,31.0
3011159501,흙콘크리트,1,302.0,302.0,302.0,302.0,302.0
5610153801,찬장,1,60.0,60.0,60.0,60.0,60.0
2612162909,난연전력케이블,1,61.0,61.0,61.0,61.0,61.0
2410168910,주차관제주변기기,1,90.0,90.0,90.0,90.0,90.0
5612101501,이동식서가,1,31.0,31.0,31.0,31.0,31.0
5612150201,교실용걸상,1,30.0,30.0,30.0,30.0,30.0
5612150101,실습대,1,140.0,140.0,140.0,140.0,140.0
1016159901,조경용수목,1,112.0,112.0,112.0,112.0,112.0
