segment_type,segment_value,model,N,ACTUAL_SUM,PREDICTION_SUM,MAE,RMSE,RMSLE,MAPE,SMAPE,WAPE,BIAS,BIAS_PCT,ZERO_ACTUAL_RATE
demand_pattern,all_zero,stock_model_a_usage_only_pred,109001,94243.8,63674.82377233295,0.5796448366169347,29.655586551617976,0.17776695441381754,126.40419243014789,199.06946047000596,67.04087360238286,-0.2804467502836401,-32.43606075695914,99.21009898991753
demand_pattern,all_zero,temporal_ensemble_pred,109001,94243.8,63674.82377233295,0.5796448366169347,29.655586551617976,0.17776695441381754,126.40419243014789,199.06946047000596,67.04087360238286,-0.2804467502836401,-32.43606075695914,99.21009898991753
demand_pattern,all_zero,predicted_usage,109001,94243.8,63674.82377233295,0.5796448366169347,29.655586551617976,0.17776695441381754,126.40419243014789,199.06946047000596,67.04087360238286,-0.2804467502836401,-32.43606075695914,99.21009898991753
demand_pattern,all_zero,baseline_rolling_mean_3_pred,109001,94243.8,66871.82682015002,0.5893000336807002,31.243109498483598,0.14279022236937647,176.53166437747666,111.41495921114061,68.1575795662208,-0.25111671617553966,-29.043791930981122,99.21009898991753
demand_pattern,all_zero,baseline_last_month_pred,109001,94243.8,81515.17,0.5974437849194044,28.54147276168144,0.14295054126675252,150.99520400171187,105.90180004060024,69.09947391764763,-0.11677535068485612,-13.50606618154192,99.21009898991753
demand_pattern,all_zero,baseline_rolling_median_3_pred,109001,94243.8,62156.66,0.5987143237218007,31.493321380730634,0.16023401344632557,173.63401259751345,110.76545793340048,69.24642257633924,-0.2943747305070596,-34.046950568631566,99.21009898991753
demand_pattern,all_zero,baseline_same_month_last_year_pred,109001,94243.8,80384.17,0.6039666608563224,28.554498031495182,0.15270080333934777,151.7393753114095,111.01272024986505,69.85390020351471,-0.12715140228071303,-14.706145125727108,99.21009898991753
demand_pattern,all_zero,baseline_rolling_mean_6_pred,109001,94243.8,57944.71835245999,0.6091889213829231,30.381537847456997,0.14410605561497894,171.53413565626423,116.00972703339633,70.45789921422949,-0.3330160424908028,-38.516148168410034,99.21009898991753
demand_pattern,all_zero,baseline_expanding_mean_pred,109001,94243.8,57157.7369015,0.6133825525853892,30.39552753893548,0.14603551863799666,169.41182170724863,118.01006062956895,70.94292846251955,-0.3402359895643159,-39.351196681903744,99.21009898991753
demand_pattern,all_zero,stock_model_b_news_pred,109001,94243.8,93771.45558435598,0.662673214347451,26.300411597987996,0.2745291010142256,168.0849132250131,199.02396656545645,76.64381427434644,-0.004333395249988867,-0.5011941535082666,99.21009898991753
demand_pattern,all_zero,stock_model_a_usage_tweedie_pred,109001,94243.8,94854.06220889099,0.674476001943752,25.695697593336376,0.2845966123171418,165.41552731184294,199.0228576303264,78.00890741658434,0.005598684497307066,0.6475356563413028,99.21009898991753
demand_pattern,all_zero,stock_model_d_module_c_pred,109001,94243.8,91303.62719407663,0.6757597314617927,27.493165110308606,0.27790712454948613,165.6898190296203,199.02697013570557,78.15738169414526,-0.026973814973471365,-3.1197519687484716,99.21009898991753
demand_pattern,all_zero,stock_model_c_news_commodity_pred,109001,94243.8,93917.18445189971,0.6784517759546965,26.643948808314626,0.28107700167058447,165.57504472765888,199.02240852119996,78.46873962089587,-0.0029964454280263534,-0.346564493473622,99.21009898991753
demand_pattern,erratic,temporal_ensemble_pred,107186,10872503.140999999,9710645.066075662,50.78047500609303,182.13827568993156,0.929959247756523,116.49782991570686,62.522148071536776,50.06166402912137,-10.839643936002242,-10.686205925689665,3.2187039352154203
demand_pattern,erratic,predicted_usage,107186,10872503.140999999,9710645.066075662,50.78047500609303,182.13827568993156,0.929959247756523,116.49782991570686,62.522148071536776,50.06166402912137,-10.839643936002242,-10.686205925689665,3.2187039352154203
demand_pattern,erratic,stock_model_a_usage_only_pred,107186,10872503.140999999,8964540.853906201,51.007060075748655,192.05554370006442,0.9097057055526377,100.81551360819803,62.18836158608442,50.285041727533084,-17.800480352786696,-17.54850987256935,3.2187039352154203
demand_pattern,erratic,stock_model_a_usage_tweedie_pred,107186,10872503.140999999,10629195.899580337,51.73553455882681,176.1144989673786,0.9751989255927768,138.22628943028775,64.49258253260601,51.003204462743234,-2.269953551953263,-2.237821762517179,3.2187039352154203
demand_pattern,erratic,stock_model_d_module_c_pred,107186,10872503.140999999,10622550.214282775,51.79534944736393,175.76851543279946,0.9765038534283227,138.60214066088014,64.57892891329573,51.06217265580416,-2.331954982154585,-2.2989455461700987,3.2187039352154203
demand_pattern,erratic,stock_model_b_news_pred,107186,10872503.140999999,10652040.607669272,51.82903058852887,177.0795832113518,0.9760141067152115,138.57465086474622,64.55695064985669,51.09537703155911,-2.0568220973889195,-2.0277072397373463,3.2187039352154203
demand_pattern,erratic,stock_model_c_news_commodity_pred,107186,10872503.140999999,10638571.752308607,51.86512857594624,177.3413572699002,0.9754476561747113,137.96740520865535,64.48745670067413,51.13096404247223,-2.1824808155113047,-2.1515872256614124,3.2187039352154203
demand_pattern,erratic,baseline_rolling_mean_3_pred,107186,10872503.140999999,9864060.832799952,56.91556241609525,199.07237870238976,1.0605583404917514,135.18192867512235,67.38812075290778,56.109907663549194,-9.408339785047012,-9.27516226136767,3.2187039352154203
demand_pattern,erratic,baseline_rolling_median_3_pred,107186,10872503.140999999,9185709.9417,57.62101648256303,209.93409462825835,1.0840771896604184,125.24957734177016,68.81850179580536,56.805375842199545,-15.737066401395705,-15.514304088256678,3.2187039352154203
demand_pattern,erratic,baseline_rolling_mean_6_pred,107186,10872503.140999999,9795694.740513619,59.61364852565692,204.0756387142289,1.0768935093727543,144.54888979866274,68.59438080536616,58.76980165473987,-10.046166481503015,-9.903960353212097,3.2187039352154203
demand_pattern,erratic,baseline_last_month_pred,107186,10872503.140999999,10294298.049999999,61.079186470247976,224.5062202602127,1.1447721456037745,132.5037965186321,71.18145429905658,60.21459452434662,-5.394408700763161,-5.318049427087308,3.2187039352154203
demand_pattern,erratic,baseline_expanding_mean_pred,107186,10872503.140999999,10179396.992125716,64.21629738890125,211.13899230816747,1.106918667640496,158.4112138655772,70.65311718246751,63.307298813010014,-6.466386924358432,-6.374853517039631,3.2187039352154203
demand_pattern,erratic,baseline_same_month_last_year_pred,107186,10872503.140999999,10378539.109100001,75.31942664060605,258.93524319478746,1.2860368308809018,156.38000649827507,79.13912181916206,74.25326035047223,-4.6084752850185655,-4.543241105512025,3.2187039352154203
demand_pattern,insufficient_history,temporal_ensemble_pred,41663,4465826.845,4120226.8400312676,48.81865557622975,216.62510725583633,0.9079863052434228,116.34678074917875,101.58070792773297,45.54434638570184,-8.29513009069755,-7.738768585613,31.64438470585412
demand_pattern,insufficient_history,predicted_usage,41663,4465826.845,4120226.8400312676,48.81865557622975,216.62510725583633,0.9079863052434228,116.34678074917875,101.58070792773297,45.54434638570184,-8.29513009069755,-7.738768585613,31.64438470585412
