standard_item_key,item_name,raw_material_meta_code,raw_material_risk_meta_code,demand_risk_meta_code,mapping_weight,exposure_score,source_rows,review_status,mapping_version
NAME::ITEM_f620b9d0e825bd077f89,에스글리토정10/5밀리그램_(1정)(한국베링거인겔하임(주))-1정,EMPAGLIFLOZIN_LINAGLIPTIN,API_IMPORT_DEPENDENCY_CN_IN,CHRONIC_DISEASE_STRUCTURAL_TREND,0.35,0.35,14,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f6272dae2076d6d29ed2,가모시드정5밀리그램(모사프리드시트르산염이수화물)(신풍제약(주))-1정,MOSAPRIDE,MINERAL_RAWMATERIAL_GENERIC;API_IMPORT_DEPENDENCY_CN_IN,LIFESTYLE_CALENDAR_EVENT;SEASONAL_CLIMATE_PATTERN,0.35,0.35,12,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f63d041101cb6f7e335b,렉시핀정(독소필린)(대화제약(주))-1정,DOXOFYLLINE,API_IMPORT_DEPENDENCY_CN_IN,INFECTIOUS_DISEASE_OUTBREAK;SEASONAL_CLIMATE_PATTERN,0.35,0.35,1,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f6423b601977f4e56700,헤모포민에스35정(sk케미칼),IRON_MINERAL_COMPOUND,CHINA_VITAMIN_RAWMATERIAL_CONCENTRATION,SEASONAL_CLIMATE_PATTERN;GOV_POLICY_PROGRAM_EXPANSION,0.5,0.5,20,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f6505455ec1cabccb355,"214/로사틴플러스에프정/히드로클로로티아지드25mg,로사르탄칼륨100mg/레고켐제약",HYDROCHLOROTHIAZIDE,API_IMPORT_DEPENDENCY_CN_IN,CHRONIC_DISEASE_STRUCTURAL_TREND,0.35,0.35,1,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f686c1fb44bdf7613af2,리팜피신(600mg),MATERIAL_UNSPECIFIED,UNCLASSIFIED_MATERIAL_RISK,NOT_APPLICABLE,0.05,0.05,3,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f68a6a3f153e93a58390,A형간염 1ml,MATERIAL_UNSPECIFIED,UNCLASSIFIED_MATERIAL_RISK,NOT_APPLICABLE,0.05,0.05,5,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f6b89009981d086167a5,리피논정 20mg(동아제약)-1정,ATORVASTATIN,API_IMPORT_DEPENDENCY_CN_IN,CHRONIC_DISEASE_STRUCTURAL_TREND,0.35,0.35,26,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f6bd68d6e3f7b2f0f799,코스카정25밀리그램(로사르탄칼륨)_(25mg/1정)(에스케이케미칼(주))-1정,LOSARTAN,API_IMPORT_DEPENDENCY_CN_IN,CHRONIC_DISEASE_STRUCTURAL_TREND,0.35,0.35,6,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f6c4813572bbdecc21ec,디아글리정0.3밀리그램(보글리보스)_(0.3mg/1정)(에이치엘비제약(주))-1정,VOGLIBOSE,API_IMPORT_DEPENDENCY_CN_IN,LOW_PRIORITY_NO_TRIGGER,0.65,0.65,19,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f6e0edb4f97eb2dfc4b1,티비올정(티볼론)_(2.5mg/1정)((주)다림바이오텍)-1정,TIBOLONE,API_IMPORT_DEPENDENCY_CN_IN,LOW_PRIORITY_NO_TRIGGER,0.65,0.65,1,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f6ee84ec100b828c7d51,날프릴정(에날라프릴말레산염)_(10mg/1정)(화일약품(주))-1정,ENALAPRIL,API_IMPORT_DEPENDENCY_CN_IN,CHRONIC_DISEASE_STRUCTURAL_TREND,0.35,0.35,43,pending,material-standard-axis-v1-pending-review
NAME::ITEM_f700733918112c91395f,모사틴정(모사프리드시트르산염수화물)_(5.29mg/1정)((주)팜젠사이언스)-1정,MOSAPRIDE,MINERAL_RAWMATERIAL_GENERIC;API_IMPORT_DEPENDENCY_CN_IN,LIFESTYLE_CALENDAR_EVENT;SEASONAL_CLIMATE_PATTERN,0.35,0.35,13,pending,material-standard-axis-v1-pending-review
