year_month,rows,stock_items,pp_market_price_risk,pp_supply_risk,baseline_lead_time_days,shadow_effective_lead_time_days,baseline_safety_stock,shadow_safety_stock,baseline_target_stock,shadow_target_stock,baseline_recommended_order_ungated,shadow_recommended_order_ungated,baseline_recommended_order,shadow_recommended_order,suppressed_order_rows,review_required_rows,lead_time_increase_days,safety_stock_increase_pct,target_stock_increase_pct
2025-08-01,716,716,0.22903335,0.17813704999999996,30.0,35.16597445,6130.489476369273,7409.137872244753,22055.66848325423,24703.341466360314,1002.1611284235538,1323.3094180564726,777.6986589069381,1031.058495019249,397,195,5.16597445,20.857199099748698,12.004501178988658
2025-09-01,696,696,0.2895453,0.22520189999999995,30.0,36.5308551,6150.547093869304,7783.126729628207,20144.677230425375,23282.706901118436,1109.0043867200181,1559.8149438901612,952.5451789933621,1318.4484339064888,379,174,6.530855099999997,26.543649058247397,15.577463142241657
2025-10-01,661,661,0.11284272999999999,0.08776656777777778,30.0,32.545230465555555,5885.961039614864,6483.140511166349,19991.985883085017,21187.55009096123,1366.6056202260093,1576.7813021453285,1098.7774992192597,1238.9532465929944,349,146,2.545230465555555,10.145827801649201,5.980217347431036
2025-11-01,623,623,0.13556606,0.10544026888888888,30.0,33.05776779777778,5756.340057512286,6459.727236935296,18941.915642900174,20310.454562454648,1611.311546938447,1857.9292890615839,1047.8251469085574,1212.7265110149199,319,102,3.057767797777778,12.219347230972875,7.224923525976271
2025-12-01,604,604,0.14677492,0.11415827111111111,30.0,33.31058986222222,5803.984047329659,6572.777468173679,17857.402186070638,19279.73231126896,1698.3989819354395,1983.0563082814322,1697.3541413711894,1981.9414441776555,277,0,3.3105898622222227,13.245960267546437,7.964933031008203
